ID Number,Name,Description,Store ,Price,Tags,Customizations
30,Sesame Seed Bagel,,Einstein Bros. Bagels,1.39,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
31,Cinnamon Raisin Bagel,,Einstein Bros. Bagels,1.39,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
32,Cranberry Bagel,,Einstein Bros. Bagels,1.39,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
33,Asiago Cheese Bagel,,Einstein Bros. Bagels,1.99,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
34,Chocolate Chip Bagel,,Einstein Bros. Bagels,1.99,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
35,Cinnamon Sugar Bagel,,Einstein Bros. Bagels,1.99,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
36,Blueberry Bagel,,Einstein Bros. Bagels,1.99,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
37,Jalapeno Bagel,,Einstein Bros. Bagels,1.99,breakfast; bagel; vegetarian; entree,(Peanut butter: 1.60); (Peanut butter and jelly: 1.80); (Butter: 0.60); (Avocado: 1.00); (Plain shmear: 1.60); (Onion and chive shmear: 1.60); (Salmon shmear: 1.60); (Garden veggie shmear: 1.60); (Honey almond shmear: 1.60); (Strawberry shmear: 1.60); (Jalapeño salsa shmear: 1.60)
38,Big Breakfast Burrito,Bacon; turkey sausage; shredded cheese; green chilies; hash browns; salsa; plain shmear; and two eggs in a flour tortilla,Einstein Bros. Bagels,5.99,breakfast; entree; burrito,
39,Bacon and Cheddar Egg Sandwich,Bacon; egg; and cheddar cheese on a plain bagel,Einstein Bros. Bagels,4.99,breakfast; bagel; entree; sandwich,
40,Turkey Sausage and Cheddar Egg Sandwich,Turkey sausage; egg; and cheddar cheese on a plain bagel,Einstein Bros. Bagels,4.99,breakfast; bagel; entree; sandwich,
41,Chedder Egg Sandwhich,Cheddar cheese and egg on a plain bagel,Einstein Bros. Bagels,4.69,vegetarian; breakfast; entree; sandwich,
42,Cold Brew,,Einstein Bros. Bagels,3.79,beverage; coffee,(Large: 0.40); (Caramel: 0.00); (Vanilla: 0.00); (Vanilla Hazelnut: 0.00)
43,Cheese Pizza Bagel,,Einstein Bros. Bagels,5.79,vegetarian; lunch; bagel; entree,
44,Peperoni and Cheese Pizza Bagel,,Einstein Bros. Bagels,5.99,lunch; bagel; entree,
45,Peperoni and Chicken Sandwich,Swiss cheese; asiago cheese; red onion; spinach; roasted tomato spread; and ciabatta bread,Einstein Bros. Bagels,6.49,lunch; entree; sandwich,
46,Spicy Chicken Sandwich,Bacon; cheddar cheese; jalapeños; red onion; jalapaño salsa shmear; and ciabatta bread,Einstein Bros. Bagels,6.49,lunch; entree; sandwich,
47,Mocha,,Einstein Bros. Bagels,4.49,beverage; coffee,(Large: 0.30); (Caramel flavor shot: 0.80); (Vanilla flavor shot: 0.80); (Espresso shot: 0.80); (Almond milk: 0.80)
48,Latte,,Einstein Bros. Bagels,3.99,beverage; coffee,(Large: 0.30); (Caramel flavor shot: 0.80); (Vanilla flavor shot: 0.80); (Espresso shot: 0.80); (Almond milk: 0.80)
49,Cappuccino,,Einstein Bros. Bagels,3.99,beverage; coffee,(Large: 0.30); (Caramel flavor shot: 0.80); (Vanilla flavor shot: 0.80); (Espresso shot: 0.80); (Almond milk: 0.80)
50,Chai Tea Latte,,Einstein Bros. Bagels,3.99,beverage,(Large: 0.30); (Caramel flavor shot: 0.80); (Vanilla flavor shot: 0.80); (Espresso shot: 0.80); (Almond milk: 0.80)
51,Hot Chocolate,,Einstein Bros. Bagels,3.59,beverage,(Large: 0.30); (Caramel flavor shot: 0.80); (Vanilla flavor shot: 0.80); (Espresso shot: 0.80); (Almond milk: 0.80)
52,Coffee of the Day,,Einstein Bros. Bagels,2.29,beverage; coffee,(Large: 0.20)
53,Caramel Macchiato,Whipped cream and caramel sauce,Einstein Bros. Bagels,4.99,beverage; coffee,(Large: 0.30)
54,Vanilla White Mocha,Whipped cream and chocolate chips,Einstein Bros. Bagels,4.99,beverage; coffee,(Large: 0.30)
55,Tea,,Einstein Bros. Bagels,2.39,beverage,(Large: 0.20); (Ice: 0.00)
56,Coffee Cooler,,Einstein Bros. Bagels,4.99,beverage; coffee,(Large: 0.30); (Vanilla: 0.00); (Chocolate: 0.00); (Caramel: 0.00)
57,Strawberry Banana Smoothie,,Einstein Bros. Bagels,4.99,beverage; breakfast; smoothie,(Large: 0.40)
58,Bean & Egg Taco,,Taco Taco,2.19,breakfast; vegetarian; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
59,Bacon & Egg Taco,,Taco Taco,2.19,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
60,Chorizo & Egg Taco,,Taco Taco,2.19,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
61,Potato & Egg Taco,,Taco Taco,2.19,breakfast; vegetarian; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
62,Bean & Cheese Taco,,Taco Taco,2.19,breakfast; vegetarian; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
63,Migas Taco,,Taco Taco,2.59,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
64,Chilaquiles Taco,,Taco Taco,2.99,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
65,Country Sausage & Egg Taco,,Taco Taco,2.59,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
66,Huevos a la Mexicana Taco,,Taco Taco,2.49,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
67,Papas Con Chorizo Taco,,Taco Taco,2.39,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
68,Taco Special,Potatoes; egg; chorizo; and beans,Taco Taco,3.49,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
69,Super Taco,Country sausage; beans; potatoes; and cheese ,Taco Taco,3.49,breakfast; entree; taco,(Potatoes: 0.79); (Cheese: 0.79); (Beans: 0.79); (Bacon: 0.79); (Country Sausage: 0.79); (Guacamole: 0.99)
70,Nachos ,,Taco Taco,6.99,appetizer,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
71,Chicken Fajita Nachos,,Taco Taco,8.99,appetizer; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
72,Beef Fajita Nachos,,Taco Taco,9.99,appetizer; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
73,Chile con Queso ,,Taco Taco,5.99,appetizer,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
74,Guacamole,,Taco Taco,4.99,appetizer; vegetarian,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99); (Large: 2.00)
75,Guacamole Salad,,Taco Taco,5.99,lunch; dinner; vegetarian; entree; salad,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
76,Chicken Fajita Taco Salad,,Taco Taco,7.99,lunch; dinner; entree; salad; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
77,Beef Fajita Taco Salad ,,Taco Taco,8.99,lunch; dinner; entree; salad; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
78,Chicken Fajita Plate,,Taco Taco,8.99,lunch; dinner; entree; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
79,Beef Fajita Plate,,Taco Taco,9.99,lunch; dinner; entree; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
80,Cheese Quesadilla ,,Taco Taco,5.99,lunch; dinner; vegetarian; entree; quesadilla,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
81,Chicken Fajita Quesadilla ,,Taco Taco,6.99,lunch; dinner; entree; quesadilla; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
82,Beef Fajita Quesadilla ,,Taco Taco,7.99,lunch; dinner; entree; quesadilla; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
83,Rice & Beans Taco,,Taco Taco,2.19,lunch; dinner; vegetarian; entree; taco,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
84,Chicken Fajita Taco,,Taco Taco,2.99,lunch; dinner; entree; taco; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
85,Beef Fajita Taco Salad ,,Taco Taco,3.99,lunch; dinner; entree; taco; salad; fajita,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
86,Fiesta Taco,Chicken fajita with pico de gallo,Taco Taco,2.99,lunch; dinner; entree; taco,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
87,El Norteno Chicken,Chicken fajita in a flour tortilla with beans; cheese; and avacado slices ,Taco Taco,7.49,lunch; dinner; entree,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
88,El Norteno Beef,Beef fajita in a flour tortilla with beans; cheese; and avacado slices ,Taco Taco,8.40,lunch; dinner; entree,(Cheese: 0.79); (Cilantro: 0.79); (Onions: 0.79); (Guacamole: 0.99)
